region	n	trait	results	abbreviation	category	color
region_chr6_26791023_28050041	4	IMMUNOBASE_Systemic_lupus_erythematosus_hg19	spredixcan_sqtl	SLE	Immune	#40A0A0
region_chr6_28050041_28949831	134	Astle_et_al_2016_Lymphocyte_counts	spredixcan_sqtl	LC	Blood	#C00000
region_chr6_29770194_30830391	438	Astle_et_al_2016_Myeloid_white_cell_count	spredixcan_sqtl	MWBC	Blood	#C00000
region_chr6_30830391_31603441	1270	IMMUNOBASE_Systemic_lupus_erythematosus_hg19	spredixcan_sqtl	SLE	Immune	#40A0A0
region_chr6_32714887_33268720	11	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_sqtl	HRET	Blood	#C00000
region_chr6_33268720_35487979	24	IMMUNOBASE_Systemic_lupus_erythematosus_hg19	spredixcan_sqtl	SLE	Immune	#40A0A0
region_chr6_35487979_37604820	2	UKB_20022_Birth_weight	spredixcan_sqtl	BW_UKB	Anthropometric	#404040
region_chr7_20085285_22468010	6	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr7_28320690_31097675	1	Astle_et_al_2016_Neutrophil_count	spredixcan_sqtl	NC	Blood	#C00000
region_chr7_5814895_6534226	1	Astle_et_al_2016_Monocyte_count	spredixcan_sqtl	MC	Blood	#C00000
region_chr9_87521331_89827251	2	Astle_et_al_2016_Reticulocyte_count	spredixcan_sqtl	RET	Blood	#C00000
region_chr9_96159758_98830577	34	Astle_et_al_2016_Platelet_count	spredixcan_sqtl	PLT	Blood	#C00000
region_chr10_46978910_49632869	11	Astle_et_al_2016_Lymphocyte_counts	spredixcan_sqtl	LC	Blood	#C00000
region_chr10_87367307_89253624	4	Astle_et_al_2016_Eosinophil_counts	spredixcan_sqtl	EC	Blood	#C00000
region_chr11_42288453_44672249	38	UKB_21001_Body_mass_index_BMI	spredixcan_sqtl	BMI_UKB	Anthropometric	#404040
region_chr11_46984586_49844498	10	Astle_et_al_2016_White_blood_cell_count	spredixcan_sqtl	WBC	Blood	#C00000
region_chr11_59013076_62456299	26	UKB_6152_8_diagnosed_by_doctor_Asthma	spredixcan_sqtl	ATH_UKB	Immune	#40A0A0
region_chr11_70855_1192365	19	UKB_21001_Body_mass_index_BMI	spredixcan_sqtl	BMI_UKB	Anthropometric	#404040
region_chr11_8311727_9065770	34	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_sqtl	HRET	Blood	#C00000
region_chr12_48608083_51382710	28	Astle_et_al_2016_Platelet_count	spredixcan_sqtl	PLT	Blood	#C00000
region_chr12_57155077_58914885	17	Astle_et_al_2016_Platelet_count	spredixcan_sqtl	PLT	Blood	#C00000
region_chr13_112918174_114344378	189	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr13_98286665_99921841	1	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr14_101067970_102545765	23	Astle_et_al_2016_Platelet_count	spredixcan_sqtl	PLT	Blood	#C00000
region_chr14_102545765_104535386	6	UKB_23099_Body_fat_percentage	spredixcan_sqtl	FAT_UKB	Anthropometric	#404040
region_chr14_92665954_93858939	1	UKB_23099_Body_fat_percentage	spredixcan_sqtl	FAT_UKB	Anthropometric	#404040
region_chr15_62923023_64812469	7	Astle_et_al_2016_Reticulocyte_count	spredixcan_sqtl	RET	Blood	#C00000
region_chr16_25975541_27434434	5	UKB_20002_1111_self_reported_asthma	spredixcan_sqtl	ATH_UKBS	Allergy	#FFFF00
region_chr16_53348660_55869862	2	UKB_23099_Body_fat_percentage	spredixcan_sqtl	FAT_UKB	Anthropometric	#404040
region_chr16_71020125_72901251	34	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr17_38653091_40721152	117	IBD.EUR.Ulcerative_Colitis	spredixcan_sqtl	UC	Immune	#40A0A0
region_chr18_11905441_14440800	1	UKB_21001_Body_mass_index_BMI	spredixcan_sqtl	BMI_UKB	Anthropometric	#404040
region_chr18_23069508_25416687	35	Astle_et_al_2016_Neutrophil_count	spredixcan_sqtl	NC	Blood	#C00000
region_chr19_29300040_30237047	3	UKB_21001_Body_mass_index_BMI	spredixcan_sqtl	BMI_UKB	Anthropometric	#404040
region_chr19_43358303_44239955	53	Astle_et_al_2016_White_blood_cell_count	spredixcan_sqtl	WBC	Blood	#C00000
region_chr19_46646825_48778970	2	Astle_et_al_2016_Red_blood_cell_count	spredixcan_sqtl	RBC	Blood	#C00000
region_chr19_6684874_8282629	1	Astle_et_al_2016_Granulocyte_count	spredixcan_sqtl	GC	Blood	#C00000
region_chr1_10746927_11717784	7	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr1_118296444_148907004	52	BCAC_ER_negative_BreastCancer_EUR	spredixcan_sqtl	ERNBC	Cancer	#A0A0A0
region_chr1_173128768_175120632	2	UKB_21001_Body_mass_index_BMI	spredixcan_sqtl	BMI_UKB	Anthropometric	#404040
region_chr1_1961168_3666172	16	IBD.EUR.Ulcerative_Colitis	spredixcan_sqtl	UC	Immune	#40A0A0
region_chr1_23594100_25190354	3	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr1_43292786_44503511	4	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr1_61456693_62989418	46	UKB_20002_1473_self_reported_high_cholesterol	spredixcan_sqtl	HC_UKBS	Cardiometabolic	#004000
region_chr1_7187275_9305140	96	IBD.EUR.Inflammatory_Bowel_Disease	spredixcan_sqtl	IBD	Immune	#40A0A0
region_chr22_19924835_22002927	2	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	spredixcan_sqtl	HAY_UKB	Immune	#40A0A0
region_chr22_44599428_46074615	36	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	spredixcan_sqtl	BLDP4_UKB	Hair morphology	#808000
region_chr2_54458089_55976210	1	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	spredixcan_sqtl	NEC	Blood	#C00000
region_chr2_98378738_101205867	1	UKB_20016_Fluid_intelligence_score	spredixcan_sqtl	FIS_UKB	Psychiatric-neurologic	#0000A0
region_chr3_125217798_126496100	3	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	spredixcan_sqtl	BLDP4_UKB	Hair morphology	#808000
region_chr3_168863172_171247120	1	UKB_20002_1065_self_reported_hypertension	spredixcan_sqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr3_46616010_47685722	3	UKB_21001_Body_mass_index_BMI	spredixcan_sqtl	BMI_UKB	Anthropometric	#404040
region_chr3_47685722_49279539	127	SSGAC_Education_Years_Pooled	spredixcan_sqtl	EDU	Psychiatric-neurologic	#0000A0
region_chr4_38905401_40200989	28	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr4_78172825_80069143	18	Astle_et_al_2016_Lymphocyte_counts	spredixcan_sqtl	LC	Blood	#C00000
region_chr4_82451440_83878503	9	Astle_et_al_2016_Monocyte_count	spredixcan_sqtl	MC	Blood	#C00000
region_chr4_86613495_88316876	2	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr5_50867564_52838788	32	Astle_et_al_2016_Reticulocyte_count	spredixcan_sqtl	RET	Blood	#C00000
region_chr6_108143176_109983044	35	Astle_et_al_2016_Red_blood_cell_count	spredixcan_sqtl	RBC	Blood	#C00000
region_chr6_166611245_167642155	13	IBD.EUR.Crohns_Disease	spredixcan_sqtl	CD	Immune	#40A0A0
region_chr6_25684359_26791023	12	Astle_et_al_2016_Red_blood_cell_count	spredixcan_sqtl	RBC	Blood	#C00000
region_chr6_26791023_28050041	6	Astle_et_al_2016_Sum_basophil_neutrophil_counts	spredixcan_sqtl	BNC	Blood	#C00000
region_chr6_29770194_30830391	1043	UKB_20002_1225_self_reported_hyperthyroidism_or_thyrotoxicosis	spredixcan_sqtl	HYPERTHY_UKBS	Endocrine system	#FF8000
region_chr6_30830391_31603441	1278	Astle_et_al_2016_Lymphocyte_counts	spredixcan_sqtl	LC	Blood	#C00000
region_chr6_40377376_42070983	30	Astle_et_al_2016_Red_blood_cell_count	spredixcan_sqtl	RBC	Blood	#C00000
region_chr6_50418432_52345678	2	UKB_21001_Body_mass_index_BMI	spredixcan_sqtl	BMI_UKB	Anthropometric	#404040
region_chr6_86359782_88112422	56	Astle_et_al_2016_Granulocyte_count	spredixcan_sqtl	GC	Blood	#C00000
region_chr7_148118226_150143569	36	Astle_et_al_2016_Eosinophil_counts	spredixcan_sqtl	EC	Blood	#C00000
region_chr7_148118226_150143569	11	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr7_20085285_22468010	5	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	spredixcan_sqtl	HAY_UKB	Immune	#40A0A0
region_chr7_7769121_9083793	5	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr8_129368893_130627379	1	Astle_et_al_2016_Granulocyte_count	spredixcan_sqtl	GC	Blood	#C00000
region_chr8_40845818_41863936	15	UKB_20022_Birth_weight	spredixcan_sqtl	BW_UKB	Anthropometric	#404040
region_chr9_126297386_127293231	41	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	spredixcan_sqtl	BLDP4_UKB	Hair morphology	#808000
region_chr9_130347830_131252501	15	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr10_4530082_5941799	37	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr10_91575290_93636611	2	Astle_et_al_2016_Eosinophil_counts	spredixcan_sqtl	EC	Blood	#C00000
region_chr11_59013076_62456299	14	Astle_et_al_2016_Reticulocyte_count	spredixcan_sqtl	RET	Blood	#C00000
region_chr11_8311727_9065770	5	UKB_23099_Body_fat_percentage	spredixcan_sqtl	FAT_UKB	Anthropometric	#404040
region_chr12_109898914_112825713	40	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	spredixcan_sqtl	NEC	Blood	#C00000
region_chr12_112825713_113548904	9	Astle_et_al_2016_Lymphocyte_counts	spredixcan_sqtl	LC	Blood	#C00000
region_chr12_51382710_52645220	1	Astle_et_al_2016_White_blood_cell_count	spredixcan_sqtl	WBC	Blood	#C00000
region_chr12_55272053_57155077	48	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr12_69432762_70564207	7	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr13_48809826_51016955	14	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	spredixcan_sqtl	NEC	Blood	#C00000
region_chr15_58149167_59401917	1	UKB_20002_1473_self_reported_high_cholesterol	spredixcan_sqtl	HC_UKBS	Cardiometabolic	#004000
region_chr15_87826712_89932319	1	UKB_23099_Body_fat_percentage	spredixcan_sqtl	FAT_UKB	Anthropometric	#404040
region_chr16_14370145_16060203	21	MAGNETIC_CH2.DB.ratio	spredixcan_sqtl	CH2	Cardiometabolic	#004000
region_chr16_84412277_85115079	2	Astle_et_al_2016_Neutrophil_count	spredixcan_sqtl	NC	Blood	#C00000
region_chr16_88974757_90226404	176	Astle_et_al_2016_Reticulocyte_count	spredixcan_sqtl	RET	Blood	#C00000
region_chr17_2025437_3799018	1	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	spredixcan_sqtl	BLDP4_UKB	Hair morphology	#808000
region_chr17_29007226_31459473	40	Astle_et_al_2016_Monocyte_count	spredixcan_sqtl	MC	Blood	#C00000
region_chr17_38653091_40721152	47	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr17_44979537_47798656	712	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	spredixcan_sqtl	BLDP4_UKB	Hair morphology	#808000
region_chr18_23069508_25416687	3	Astle_et_al_2016_Platelet_count	spredixcan_sqtl	PLT	Blood	#C00000
region_chr18_48413361_50204214	34	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr19_33772047_35978393	11	Astle_et_al_2016_Reticulocyte_count	spredixcan_sqtl	RET	Blood	#C00000
region_chr19_35978393_37036131	17	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr1_1961168_3666172	76	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr1_219417229_221684889	10	UKB_23099_Body_fat_percentage	spredixcan_sqtl	FAT_UKB	Anthropometric	#404040
region_chr1_235656136_237392328	4	Astle_et_al_2016_Monocyte_count	spredixcan_sqtl	MC	Blood	#C00000
region_chr20_25363595_33027017	46	Astle_et_al_2016_Platelet_count	spredixcan_sqtl	PLT	Blood	#C00000
region_chr2_109814855_113164279	21	Astle_et_al_2016_Monocyte_count	spredixcan_sqtl	MC	Blood	#C00000
region_chr2_109814855_113164279	14	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	spredixcan_sqtl	NEC	Blood	#C00000
region_chr2_134401007_136285224	2	Astle_et_al_2016_Monocyte_count	spredixcan_sqtl	MC	Blood	#C00000
region_chr2_189017339_191108631	2	Astle_et_al_2016_Reticulocyte_count	spredixcan_sqtl	RET	Blood	#C00000
region_chr2_31327584_33138710	1	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr2_60064865_62201909	2	IBD.EUR.Ulcerative_Colitis	spredixcan_sqtl	UC	Immune	#40A0A0
region_chr3_114229016_115728233	19	UKB_2395_2_Hair_or_balding_pattern_Pattern_2	spredixcan_sqtl	BLDP2_UKB	Hair morphology	#808000
region_chr3_122255250_123798921	6	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr3_36445350_38314625	41	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr3_47685722_49279539	39	IBD.EUR.Ulcerative_Colitis	spredixcan_sqtl	UC	Immune	#40A0A0
region_chr3_56399879_58171792	6	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_sqtl	HRET	Blood	#C00000
region_chr5_11940_982137	73	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr5_130183332_132803957	310	Astle_et_al_2016_Myeloid_white_cell_count	spredixcan_sqtl	MWBC	Blood	#C00000
region_chr5_149283061_151181737	6	IBD.EUR.Crohns_Disease	spredixcan_sqtl	CD	Immune	#40A0A0
region_chr6_108143176_109983044	249	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr6_157797687_160159465	2	Astle_et_al_2016_White_blood_cell_count	spredixcan_sqtl	WBC	Blood	#C00000
region_chr6_28050041_28949831	73	Astle_et_al_2016_Sum_basophil_neutrophil_counts	spredixcan_sqtl	BNC	Blood	#C00000
region_chr6_29770194_30830391	289	pgc.scz2	spredixcan_sqtl	SCZ	Psychiatric-neurologic	#0000A0
region_chr6_32714887_33268720	281	UKB_20002_1225_self_reported_hyperthyroidism_or_thyrotoxicosis	spredixcan_sqtl	HYPERTHY_UKBS	Endocrine system	#FF8000
region_chr6_47344162_48423389	3	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr7_129138332_130737653	1	Astle_et_al_2016_Platelet_count	spredixcan_sqtl	PLT	Blood	#C00000
region_chr8_129368893_130627379	9	Astle_et_al_2016_Monocyte_count	spredixcan_sqtl	MC	Blood	#C00000
region_chr9_106536473_107932781	2	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr9_107932781_110015744	2	BCAC_Overall_BreastCancer_EUR	spredixcan_sqtl	BC	Cancer	#A0A0A0
region_chr9_122109043_124209608	40	UKB_20022_Birth_weight	spredixcan_sqtl	BW_UKB	Anthropometric	#404040
region_chr10_101189482_102620653	46	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_sqtl	HRET	Blood	#C00000
region_chr10_102620653_104935290	39	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr10_26599755_29034307	125	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr11_107973474_108566310	2	Astle_et_al_2016_Neutrophil_count	spredixcan_sqtl	NC	Blood	#C00000
region_chr11_117876395_119344766	68	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr11_117876395_119344766	21	UKB_23099_Body_fat_percentage	spredixcan_sqtl	FAT_UKB	Anthropometric	#404040
region_chr11_64037097_66131160	241	UKB_21001_Body_mass_index_BMI	spredixcan_sqtl	BMI_UKB	Anthropometric	#404040
region_chr11_69701362_71215246	5	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr12_109898914_112825713	297	Astle_et_al_2016_Sum_eosinophil_basophil_counts	spredixcan_sqtl	EBC	Blood	#C00000
region_chr12_54385039_55272053	3	Astle_et_al_2016_Platelet_count	spredixcan_sqtl	PLT	Blood	#C00000
region_chr12_65165915_66787364	27	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr12_96715061_98912209	1	UKB_21001_Body_mass_index_BMI	spredixcan_sqtl	BMI_UKB	Anthropometric	#404040
region_chr13_20112581_21668035	86	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr13_70952659_73359952	9	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	spredixcan_sqtl	HAY_UKB	Immune	#40A0A0
region_chr14_102545765_104535386	11	Astle_et_al_2016_Lymphocyte_counts	spredixcan_sqtl	LC	Blood	#C00000
region_chr14_102545765_104535386	112	Astle_et_al_2016_Reticulocyte_count	spredixcan_sqtl	RET	Blood	#C00000
region_chr15_64812469_66802429	2	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr15_68725660_69841002	1	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	spredixcan_sqtl	BLDP4_UKB	Hair morphology	#808000
region_chr15_89932319_91621162	41	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	spredixcan_sqtl	BLDP4_UKB	Hair morphology	#808000
region_chr16_13060580_14370145	2	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr16_18632285_20139249	25	UKB_21001_Body_mass_index_BMI	spredixcan_sqtl	BMI_UKB	Anthropometric	#404040
region_chr16_24125554_25975541	2	UKB_21001_Body_mass_index_BMI	spredixcan_sqtl	BMI_UKB	Anthropometric	#404040
region_chr16_48974015_52001911	2	UKB_20002_1462_self_reported_crohns_disease	spredixcan_sqtl	CD_UKBS	Immune	#40A0A0
region_chr17_44979537_47798656	707	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr17_66804312_69862629	4	UKB_21001_Body_mass_index_BMI	spredixcan_sqtl	BMI_UKB	Anthropometric	#404040
region_chr17_74676064_76379479	4	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	spredixcan_sqtl	NEC	Blood	#C00000
region_chr17_74676064_76379479	8	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr19_43358303_44239955	66	Astle_et_al_2016_Neutrophil_count	spredixcan_sqtl	NC	Blood	#C00000
region_chr1_115337972_118296444	3	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_sqtl	HRET	Blood	#C00000
region_chr1_159943258_162376931	3	Astle_et_al_2016_White_blood_cell_count	spredixcan_sqtl	WBC	Blood	#C00000
region_chr1_1961168_3666172	1	UKB_20002_1265_self_reported_migraine	spredixcan_sqtl	MIGR_UKBS	Psychiatric-neurologic	#0000A0
region_chr1_83526065_84378812	1	UKB_23099_Body_fat_percentage	spredixcan_sqtl	FAT_UKB	Anthropometric	#404040
region_chr1_89600744_91420760	2	SSGAC_Education_Years_Pooled	spredixcan_sqtl	EDU	Psychiatric-neurologic	#0000A0
region_chr20_44051536_46210417	3	UKB_20002_1065_self_reported_hypertension	spredixcan_sqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr22_35134992_37174229	1	Astle_et_al_2016_Red_blood_cell_count	spredixcan_sqtl	RBC	Blood	#C00000
region_chr22_42294812_43318194	7	Astle_et_al_2016_Red_blood_cell_count	spredixcan_sqtl	RBC	Blood	#C00000
region_chr2_102072305_102971757	31	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	spredixcan_sqtl	HAY_UKB	Immune	#40A0A0
region_chr2_160913222_162647041	1	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	spredixcan_sqtl	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr2_166499460_169111726	79	MAGIC_FastingGlucose	spredixcan_sqtl	FG	Cardiometabolic	#004000
region_chr2_180448012_181401304	2	Astle_et_al_2016_White_blood_cell_count	spredixcan_sqtl	WBC	Blood	#C00000
region_chr2_181401304_183492880	9	Astle_et_al_2016_Lymphocyte_counts	spredixcan_sqtl	LC	Blood	#C00000
region_chr2_28375910_28994693	13	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	spredixcan_sqtl	HAY_UKB	Immune	#40A0A0
region_chr2_35896940_37905569	34	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr2_43082452_44086664	4	Astle_et_al_2016_Lymphocyte_counts	spredixcan_sqtl	LC	Blood	#C00000
region_chr2_87738988_88855013	5	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr3_41023037_42498510	5	Astle_et_al_2016_Monocyte_count	spredixcan_sqtl	MC	Blood	#C00000
region_chr3_47685722_49279539	124	UKB_20002_1065_self_reported_hypertension	spredixcan_sqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr4_48121583_53011266	58	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr4_6771316_7537965	7	Astle_et_al_2016_Myeloid_white_cell_count	spredixcan_sqtl	MWBC	Blood	#C00000
region_chr4_82451440_83878503	10	Astle_et_al_2016_Eosinophil_counts	spredixcan_sqtl	EC	Blood	#C00000
region_chr4_88316876_89310413	19	UKB_20002_1466_self_reported_gout	spredixcan_sqtl	GOUT_UKBS	Skeletal system disease	#B0B0FF
region_chr5_147802435_149283061	1	Astle_et_al_2016_Granulocyte_count	spredixcan_sqtl	GC	Blood	#C00000
region_chr6_26791023_28050041	7	Astle_et_al_2016_Myeloid_white_cell_count	spredixcan_sqtl	MWBC	Blood	#C00000
region_chr6_26791023_28050041	3	UKB_20002_1225_self_reported_hyperthyroidism_or_thyrotoxicosis	spredixcan_sqtl	HYPERTHY_UKBS	Endocrine system	#FF8000
region_chr6_28050041_28949831	101	Astle_et_al_2016_Sum_eosinophil_basophil_counts	spredixcan_sqtl	EBC	Blood	#C00000
region_chr6_30830391_31603441	268	UKB_20002_1464_self_reported_rheumatoid_arthritis	spredixcan_sqtl	RA_UKBS	Immune	#40A0A0
region_chr6_32714887_33268720	71	Astle_et_al_2016_White_blood_cell_count	spredixcan_sqtl	WBC	Blood	#C00000
region_chr6_33268720_35487979	377	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr6_86359782_88112422	40	Astle_et_al_2016_White_blood_cell_count	spredixcan_sqtl	WBC	Blood	#C00000
region_chr7_129138332_130737653	1	CARDIoGRAM_C4D_CAD_ADDITIVE	spredixcan_sqtl	CAD	Cardiometabolic	#004000
region_chr7_44724229_45913323	1	UKB_23099_Body_fat_percentage	spredixcan_sqtl	FAT_UKB	Anthropometric	#404040
region_chr7_91032469_92864438	47	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr7_92864438_94337289	5	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr8_115084266_118673218	2	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr8_132338897_133557758	2	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	spredixcan_sqtl	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr8_141963553_143155464	18	pgc.scz2	spredixcan_sqtl	SCZ	Psychiatric-neurologic	#0000A0
region_chr8_7295557_9297184	92	Astle_et_al_2016_Neutrophil_count	spredixcan_sqtl	NC	Blood	#C00000
region_chr9_110015744_112068802	2	Astle_et_al_2016_White_blood_cell_count	spredixcan_sqtl	WBC	Blood	#C00000
region_chr9_132423455_134176000	44	Astle_et_al_2016_Monocyte_count	spredixcan_sqtl	MC	Blood	#C00000
region_chr9_91404921_93909416	38	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr9_96159758_98830577	6	Astle_et_al_2016_Red_blood_cell_count	spredixcan_sqtl	RBC	Blood	#C00000
region_chr10_46978910_49632869	1	Astle_et_al_2016_White_blood_cell_count	spredixcan_sqtl	WBC	Blood	#C00000
region_chr11_114959946_116512631	1	UKB_21001_Body_mass_index_BMI	spredixcan_sqtl	BMI_UKB	Anthropometric	#404040
region_chr11_68238358_69701362	1	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	spredixcan_sqtl	BLDP4_UKB	Hair morphology	#808000
region_chr11_70855_1192365	121	Astle_et_al_2016_White_blood_cell_count	spredixcan_sqtl	WBC	Blood	#C00000
region_chr12_109898914_112825713	160	Astle_et_al_2016_Platelet_count	spredixcan_sqtl	PLT	Blood	#C00000
region_chr12_2435620_3567871	1	UKB_23099_Body_fat_percentage	spredixcan_sqtl	FAT_UKB	Anthropometric	#404040
region_chr12_27646840_29498322	33	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr12_52645220_54385039	14	Astle_et_al_2016_Red_blood_cell_count	spredixcan_sqtl	RBC	Blood	#C00000
region_chr14_18225607_21121243	7	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr14_58981618_61213706	18	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr15_58149167_59401917	5	MAGNETIC_HDL.C	spredixcan_sqtl	HDLC	Cardiometabolic	#004000
region_chr15_62923023_64812469	4	Astle_et_al_2016_Neutrophil_count	spredixcan_sqtl	NC	Blood	#C00000
region_chr16_10054_1157206	386	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr16_10332175_11426305	22	Astle_et_al_2016_Sum_eosinophil_basophil_counts	spredixcan_sqtl	EBC	Blood	#C00000
region_chr16_85115079_86122993	7	Astle_et_al_2016_Monocyte_count	spredixcan_sqtl	MC	Blood	#C00000
region_chr17_2025437_3799018	4	Astle_et_al_2016_White_blood_cell_count	spredixcan_sqtl	WBC	Blood	#C00000
region_chr17_44979537_47798656	17	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	spredixcan_sqtl	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr17_74676064_76379479	4	Astle_et_al_2016_Neutrophil_count	spredixcan_sqtl	NC	Blood	#C00000
region_chr17_79302554_80863788	8	UKB_21001_Body_mass_index_BMI	spredixcan_sqtl	BMI_UKB	Anthropometric	#404040
region_chr18_21905883_23069508	3	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
